brokerId;lat;lon;function;topics
Asuncion-1600057911;-25.2964;-57.6415;Broker;t-fImb7ttlw,t-hoOWtWUSC,t-EYgaMO5rE,t-GiFbaIou2,t-gAI1JH9cN,t-DMLIS3Vcm,t-06THRh3Ei,t-CnrgvowfH,t-DQ7CMZhPn,t-jwA8MNOW5,t-zezLgZD5e,t-LhevdhNQJ,t-Qt5ugq8o0,t-GmEFweVXM,t-XrHAltscx,t-ZBqsmIfSs,t-RdKvnWMNO,t-fq6aZ3bHD,t-1awASRWPA,t-laFWewSzJ,t-KyXDZ5zMC,t-X0PRvUWq7,t-rNX5qZxAu,t-tycgN6xby,t-wH0E0Mvyq,t-kS9RlRZXt,t-utLoa0Us1,t-QQdkD5Lgt,t-sREnRoqTJ,t-IEB8bAxA4,t-Dq5SxiH9d,t-LX8I3Pmhd,t-3qr5wp3tw,t-ESuTUaGXK,t-sokgFHVpn,t-8tfpKHviP
Athens-1300715560;37.9833;23.7333;Broker;t-wV5HlPI14,t-MQKUfzBay,t-yyRnDB1kb,t-2tOebsbrh,t-5zd72gDQh,t-XSFc6uYSc,t-fZnLo5q9q,t-0SNXZuN0s,t-Wo3zK1Roz,t-nQYK8Xxle,t-ujejwUajK,t-hWDuB7wJ8,t-y2IqJfZzl,t-wWAoRT2O5,t-id5TkS4Dn,t-4Zb1vUUmb,t-GJOoPQLyF,t-JsvplTOSJ,t-liYFjV7qG,t-xqAL9tcLP,t-jnHuPDtSs,t-lZA9yXqOF,t-FHXzE3Qno
Barranquilla-1170179113;10.96;-74.8;Broker;t-Fih6So4Hx,t-oBrCm3zYj,t-1hVEgt2gv,t-f1MAbw23x,t-4JXV0DQxa,t-aV8U4FHYn,t-10utrsuY8,t-GsM0gZerA,t-CLpaCJaNN,t-WjIEahQMH,t-62m9XSDUA,t-h0wtIOJKn,t-bZqauYtHt,t-mMoeMoMbg,t-gdQoUHdEF,t-2h2c4Cisq,t-NZ5B92dUh,t-A45atCb6f,t-9FN2hwc9O,t-NLSRg0pUL,t-pnokv7vSO,t-gepAGH3nt,t-O2pjHFevz,t-79kw2m7nI,t-bsoCO1mg7,t-v0AGlb4dd,t-YUfee59Ye,t-5PpvKxQoI,t-mQoRRFykB,t-oHwKugsIx,t-sDMWT22eV,t-h7DVZf8aT,t-Pmuh35G8Y,t-qYnFt45vX,t-tzatKoJf5,t-bpXMhTdD6,t-dSXHczRsD
Brooklyn-1840034030;40.6501;-73.9496;Broker;t-30o4bJDRe,t-8Uws5aUlV,t-7veb15NTi,t-IWi4YfW56,t-SyprDNVma,t-L6OHSFRew,t-jb18a99I8,t-YrHugzOBW,t-HGNXPNCK4,t-heiJbNyIt,t-2V7uCpf2K,t-P6Ki7WPB9,t-gC0L5jsa4,t-hzSLX9AFV,t-pNP55tq9x,t-WGZ7nq5B3,t-eEPCiYUUD,t-PXrerUDWD,t-M9AEvEeRf,t-po0wTCV11,t-4oE1xkXxy,t-tYFerHuFq,t-PcMtOJzo7,t-XYgxTqv57,t-E4sSg9HuE,t-lt7RJIHbZ,t-nO0B8lPd4,t-HqOs7WBE4,t-tf4WGA8PP,t-OQUg6wk1U,t-VkZO5yPCh,t-5HRzYsPIK
Calgary-1124690423;51.083;-114.08;Broker;t-zIN3dSmgc,t-uO8zcPgSb,t-LpVfYSa7X,t-kexyd7Y3i,t-FgfyvLpwe,t-BrlEI5K4o,t-ZfBDaYYoP,t-E5JZUeQfY,t-T4S0J4rdw,t-myv1Gk8Xr,t-CHQMSGt6B,t-ORZ12VwaQ,t-OidFDqEcz,t-lxJ07JwQX,t-lxZznLnjA,t-dAzBlIu5W,t-rb50Ju6nS,t-JKx0cCegX,t-RFwGm0gsR,t-RoO0lyoCE,t-lBKXSpX4z,t-6oDvqeZzt,t-h3fWWicpP,t-fPDmdSqBr,t-FDyW9j8pT,t-CVqKTaUP7,t-KbWU5W6NG,t-M3UBKVujB,t-QZzPB9pKP,t-BVgdP5sp7,t-I3TEx59SA,t-buMhyXLFK,t-Jsv43XYTI,t-b2dRccsRi,t-9IEDzUjN3,t-6llEF5d4s
Cali-1170417589;3.4;-76.5;Broker;t-c4d9fSuVP,t-nijrOSyK6,t-GSXrgGjc1,t-Dj2sDlzeH,t-ThfRzQi1H,t-grwXxmK6O,t-t6ARczIQZ,t-yGs8ikAW7,t-slXdtho6A,t-CyC2Tudhj,t-ZZdroIgkQ,t-AGcR8JmpA,t-kBmw3BDJ4,t-ugOxofydk,t-LZX9UE7PG,t-dMfuvzkHh,t-4MLoPvkcp,t-Vo7VViJ8m,t-mjcKu3Crc,t-Q68s0suKW,t-0vlUY6Gws,t-Gs9dt39Ee,t-WXe90Xl7I,t-mKZseoYJL,t-TKfTPx4m2,t-ARRdhvIke,t-EFcFrWmco,t-E35IpNYtP,t-O6KvECsAf,t-Vo0fu8hA2,t-SvWLzGi13,t-d7P5eI4gq,t-XuekpOgt2,t-ZtO9CFAsP,t-TzUL1OFKV,t-0c7vbmueT,t-Hg9yyJpgU,t-7cjDbOduZ,t-BeRSpSAWh,t-BPIPTXP4Q,t-Pkw05kVF0,t-ngszxVPRb,t-dhuShmExf,t-65fRkVNcz,t-sw53CT5Et,t-45vfEy9o1,t-gTn3zYWn6,t-Wn48Z3Jlj,t-As4xWMUDj,t-16F8KnNsb
Chifeng-1156277458;42.27;118.95;Broker;t-x4eljUgxV,t-xOZzZmShr,t-BvVSO9zb9,t-nekribYaw,t-M381CfjmI,t-Z6eTdKAw4,t-NgvoN8oom,t-9Q4AFZxiy,t-iKBVgQkyI,t-gG1HNEHbi,t-3xPdFoQNu,t-vTan4sYiS,t-ldyM5tdnB,t-Vemmz2uV8,t-K4gn5o4s5,t-jI5QsEzz8,t-uuqZYLINT,t-olO9iLEOc,t-wE4drsSPN,t-oZePQ3LXU,t-NXr4E4Rbf,t-yLPe3Oyup,t-xE14Vl4SF,t-1ChcRtPnM,t-IQ806Xor9,t-Y4Tx1CJK8,t-H4Vy4EWyq,t-r4Q7nmVWt,t-Hwfh6Iujs,t-FwxWuDvfk,t-rgy3ky4QM,t-419bt5LRW,t-u8mkb96os,t-6FZYZqO15,t-tfHkOyAj5,t-jx3AEKiCs,t-jxsl7f8vh,t-1NoSfyYXD,t-loc0yV8OA,t-3YwPEcH4Q,t-58kTYzy54,t-rXnGbB9Tu,t-nJ621Vs0T,t-5snjgPxJB,t-oSithx0Yt,t-43x1xnSaK,t-G0BJpvwQ6,t-KYOVuC4SH,t-q9lbotDcp,t-e0UTDavUT,t-2SwtPm2QC,t-qPamjHKF2,t-4fGY8hCsO,t-2pHAYAh4Y,t-h0JdseuRM,t-saX0cWyS4,t-8xbUxw20f,t-xpIeml3Vg,t-vfZSHfeTc,t-Dw9wzDYJa,t-ZixRqpoHC,t-Q8PmsOr3Q,t-fcxvXmk47,t-efplPVu4g,t-A2vMGw33v,t-W77rXSDCU,t-QnPFfsT9m,t-EfkqK1RCZ,t-LZhEDHOQq
Conakry-1324568159;9.5315;-13.6802;Broker;t-kZK5CofwU,t-BqKnnNlcs,t-jmc3H4w3d,t-4mRVsaVzQ,t-YvzRF5XHy,t-rR9dXBxYN,t-Ya82EQeP2,t-Hs429U0YZ,t-Gq46PyRz9,t-xX0165hUS,t-6ooYOvlvM,t-KXs7d5nBG,t-zWNbrny2d,t-LM2MsVtft,t-NtfcjLwky,t-Iz9X2dUCI,t-dVdhO9ZhU,t-joKzCSxy1,t-GNQl2ZKX4,t-2GRSHokTV,t-R0naqdotG,t-ZWE6M73T9,t-wAsgEMovQ,t-dcORpGyYv,t-MCBMmaLOP,t-eW34N5cLA,t-jo3x4yPoq,t-Do54jpV8e,t-mDL5jDl1B,t-q5KyghDTc,t-63x91k0JX,t-d4s2M6BZS,t-P44o6LXck,t-qmuSu6xia,t-Lu6Flz1Cw,t-hzVVpREOO,t-bG9HlYJPg,t-XDhHq3jDK,t-xNp2zMbfB,t-t2kWjnLRT,t-xlFjfWIwH,t-IxquXEuRe,t-cB31shj9k,t-dKNZfxm2q,t-Jsjkdsp59
Daqing-1156403962;46.58;125.0;Broker;t-M0KYmlrZ6,t-GTrkkYgUB,t-ktKlYwbkT,t-jTtQSSLxZ,t-THfyMX1lc,t-WvmKYCSrU,t-ESKpwpvRy,t-IraQiEWrN,t-RhY8zjiqE,t-3AFhhaz72,t-iTNmspxYm,t-3Q3F3bCHO,t-DDCsK1sub,t-FNhGLo3fj,t-ziDp4RfTi,t-iPvzNnGn3,t-bkg406gWJ,t-UjZ4RT5gV,t-PfLeC0ON0,t-KLj0htOFz,t-C5k5p4vMp,t-oWq7DqAnX,t-8unHR6I6e,t-NFzWNk6nR,t-0HBoC33PZ,t-Be0scWo6o,t-0JV1ivluo,t-WELPf9gFa,t-X2IVXpC4b,t-QoUKv4DM8,t-QS83EzX4E,t-tWxvWthX7,t-RJyPwJIjb,t-VEa0Ne6AL,t-XEp6RlMp3,t-CHZ9RWtqf,t-gIfF5k6dL,t-0Sq2xySDB,t-FG4DONqPe,t-gDLN5TdgF,t-mWKE8rzV8,t-735Buhe2I,t-CwMkByj0H,t-VGSjEVrqx,t-4zFUGVSOW,t-cHqtlydxl,t-XTQ0Rk51v
Denver-1840018789;39.7621;-104.8759;Broker;t-BEh3KqG8V,t-Gmyxou2I2,t-oTCqTDeP3,t-o2Xkpu2Bi,t-tHXyo8zyI,t-iHmrVel33,t-ds6EpTlcN,t-nKyaazGpa,t-7o76Ees7i,t-BVUzelrSU,t-mVbE26Jfk,t-00BYMANLr,t-xImNuVdN7,t-7JFaWb3TI,t-ozIrqIJMi,t-qGxAHy03C,t-aUHVUgkKW,t-oArkVtIg5,t-80lsfiAJD,t-7HTN3tNqm,t-toDZteRZn,t-iZG9QAhnM,t-WG2x2tGda,t-e4DvFu7zx,t-3IaLa7Oen,t-wUiQVczCg,t-iktiFqwnl,t-KdJntG0fW,t-K75BZ9YIq,t-IUNCc7fRP,t-QXJVACOuV,t-oycqUfjAm
